overall_rating,divisiveness,multiple_lead_vocalists,front_person_age,artist_is_a_songwriter,artist_is_a_producer,simplified_key,bpm,energy,danceability,happiness,loudness_d_b,vocally_based,bass_based,guitar_based,piano_keyboard_based,orchestral_strings,horns_winds,falsetto_vocal,handclaps_snaps,saxophone,length_sec,vocal_introduction,fade_out,cover,sample,interpolation,inspired_by_a_different_song,spoken_word,explicit,log_weeks_at_number_one,log_acousticness,Pop,Rock,Funk/Soul,Electronic/Dance,Hip Hop
9,2,0,25,1,0,Major,128,39,57,38,-11,0,0,1,0,1,1,0,0,0,132,0,0,0,0,1,1,0,0,0.6931471805599453,4.3694478524670215,1,0,0,0,0
1.6666666666666667,1.3333333333333333,0,27,0,0,Minor,139,73,62,69,-7,0,1,1,1,0,0,0,0,0,154,0,1,1,0,0,1,0,0,0.6931471805599453,4.07753744390572,1,0,0,0,0
8,1.3333333333333333,0,22,1,0,Major,165,83,46,90,-9,0,0,1,0,0,1,0,1,1,150,0,1,0,0,1,1,0,0,1.0986122886681096,4.543294782270004,0,1,1,0,0
7,1.3333333333333333,0,36,0,0,Major,143,72,57,96,-9,0,1,1,0,0,1,0,0,1,159,0,1,0,0,0,0,0,0,2.0794415416798357,3.1354942159291497,0,1,0,0,0
1.3333333333333333,0.6666666666666666,0,21,0,0,Major,85,46,84,95,-10,0,0,0,1,0,1,0,0,1,118,0,0,1,0,0,1,0,0,0.6931471805599453,4.276666119016055,0,0,0,0,0
5.666666666666667,2,0,18,0,0,Major,82,43,49,66,-12,0,0,1,1,1,0,0,0,0,150,1,1,0,0,0,0,0,0,1.3862943611198906,4.2626798770413155,0,1,0,0,0
7.333333333333333,2,1,31,0,0,Minor,173,63,56,93,-11,0,1,0,1,0,1,0,0,0,120,0,0,0,0,0,0,0,0,1.0986122886681096,4.1588830833596715,0,0,1,0,0
8,0,0,22,1,0,Major,80,61,36,60,-10,1,0,1,0,0,1,0,1,1,161,1,1,0,0,0,0,0,0,1.0986122886681096,3.828641396489095,0,1,1,0,0
6.666666666666667,2.6666666666666665,0,33,1,0,Minor,174,46,52,46,-13,1,0,0,0,0,0,0,0,0,182,0,1,0,0,0,0,1,1,1.791759469228055,4.110873864173311,0,0,0,0,0
7.666666666666667,1.3333333333333333,1,16,0,0,Major,121,78,79,97,-5,0,0,1,1,0,0,0,1,0,148,0,1,0,0,0,0,0,0,0.6931471805599453,4.290459441148391,1,0,0,0,0
4.666666666666667,2,0,21,1,0,Major,99,77,42,69,-12,0,0,1,1,0,1,0,1,1,119,0,1,0,0,1,1,0,0,1.3862943611198906,3.58351893845611,0,1,0,0,0
6,2,0,22,1,0,Major,105,28,58,47,-11,1,1,1,0,0,1,0,0,0,148,0,1,0,0,0,0,0,0,1.3862943611198906,4.430816798843313,0,0,1,0,0
5.666666666666667,1.3333333333333333,0,21,1,0,Major,130,55,63,56,-9,0,0,1,1,0,0,0,0,0,142,0,1,0,0,0,0,0,0,1.3862943611198906,3.044522437723423,0,1,0,0,0
7,0,0,24,0,0,Major,76,40,24,17,-7,1,0,1,1,1,0,0,0,0,185,0,0,0,0,0,0,1,0,0.6931471805599453,4.48863636973214,1,0,0,0,0
5.333333333333333,1.3333333333333333,0,18,0,0,Major,108,38,37,74,-9,1,0,1,0,1,0,0,0,0,139,1,1,0,0,0,0,0,0,1.0986122886681096,4.477336814478207,1,0,0,0,0
4.666666666666667,0.6666666666666666,0,27,0,0,Major,121,35,63,87,-17,0,1,1,0,0,0,0,0,0,144,0,1,0,0,0,0,0,0,1.0986122886681096,4.394449154672439,0,1,0,0,0
6.333333333333333,0.6666666666666666,0,20,0,0,Major,98,20,57,62,-15,0,0,1,1,0,1,0,0,0,162,1,0,0,0,0,0,0,0,1.3862943611198906,4.330733340286331,1,0,0,0,0
7.666666666666667,2,0,31,0,0,Major,79,28,31,38,-14,0,0,1,1,1,0,0,0,0,157,0,0,1,0,0,1,0,0,1.791759469228055,4.406719247264253,1,0,0,0,0
3.6666666666666665,2.6666666666666665,0,27,0,0,Major,103,22,51,53,-10,0,0,1,1,1,0,0,0,0,158,0,0,0,0,1,1,0,0,1.6094379124341003,4.430816798843313,1,0,0,0,0
6.333333333333333,2,1,23,1,0,Major,116,80,74,96,-5,1,0,1,1,1,0,0,1,0,139,0,1,0,0,0,0,0,0,1.0986122886681096,4.2626798770413155,1,0,0,0,0
8,1.3333333333333333,1,19,0,0,Major,129,78,63,74,-10,1,0,1,0,0,1,0,0,1,139,0,1,0,0,0,0,0,0,0.6931471805599453,4.276666119016055,1,0,0,0,0
6.333333333333333,2.6666666666666665,0,20,1,0,Major,136,57,42,47,-9,0,0,1,0,0,0,0,0,0,127,0,1,0,0,1,1,0,0,1.0986122886681096,3.367295829986474,0,1,0,0,0
5.333333333333333,1.3333333333333333,1,28,1,0,Major,118,47,70,69,-8,1,1,1,0,0,0,1,1,0,152,0,1,0,0,0,0,0,0,1.791759469228055,4.189654742026425,0,1,0,0,0
5.333333333333333,2,0,24,1,0,Major,70,49,69,71,-14,0,0,0,1,0,0,0,1,0,192,0,1,0,0,0,0,1,0,1.0986122886681096,3.7376696182833684,0,1,0,0,0
9.666666666666666,0.6666666666666666,0,21,0,0,Major,117,76,71,87,-6,0,0,0,1,0,1,0,1,1,151,0,1,0,0,0,0,0,0,1.0986122886681096,4.1588830833596715,1,0,0,0,0
3,1.3333333333333333,1,28,1,0,Major,130,84,76,84,-5,1,1,1,1,0,1,1,1,0,146,0,1,0,0,0,0,0,0,1.791759469228055,3.6888794541139363,0,1,0,0,0
