overall_rating,divisiveness,multiple_lead_vocalists,front_person_age,artist_is_a_songwriter,artist_is_a_producer,simplified_key,bpm,energy,danceability,happiness,loudness_d_b,vocally_based,bass_based,guitar_based,piano_keyboard_based,orchestral_strings,horns_winds,falsetto_vocal,handclaps_snaps,saxophone,length_sec,vocal_introduction,fade_out,cover,sample,interpolation,inspired_by_a_different_song,spoken_word,explicit,log_weeks_at_number_one,log_acousticness,Electronic/Dance,Funk/Soul,Hip Hop,Pop,Rock
8.666666666666666,0.6666666666666666,1,24,0,0,Major,97,15,52,21,-20,1,0,1,1,0,1,0,0,0,174,0,1,0,0,0,0,0,0,1.0986122886681098,2.6390573296152584,0,1,0,0,0
5.333333333333333,2,0,32,1,1,Minor,99,54,54,49,-12,0,0,1,1,0,0,0,0,0,275,0,1,0,0,0,0,0,0,1.0986122886681098,2.5649493574615367,0,0,0,0,1
8.333333333333334,1.3333333333333333,0,24,1,1,Minor,117,65,92,85,-3,0,1,1,0,1,0,0,0,0,294,0,1,0,0,0,0,0,0,2.0794415416798357,1.0986122886681098,0,0,0,0,1
8.333333333333334,1.3333333333333333,0,24,1,1,Minor,117,65,92,85,-3,0,1,1,0,1,0,0,0,0,294,0,1,0,0,0,0,0,0,2.0794415416798357,1.0986122886681098,0,1,0,0,0
6.666666666666667,1.3333333333333333,0,35,0,0,Major,97,62,63,30,-9,0,0,1,0,0,0,0,0,0,281,0,1,0,0,0,0,0,0,1.0986122886681098,4.060443010546419,0,0,0,0,1
7.333333333333333,0.6666666666666666,0,31,1,1,Major,123,59,87,50,-9,0,1,0,0,0,0,0,0,0,301,1,1,0,0,0,0,1,0,1.0986122886681098,2.1972245773362196,1,0,0,0,0
4.666666666666667,0.6666666666666666,0,23,1,0,Major,120,82,74,65,-5,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,1,0.6931471805599453,0.6931471805599453,1,0,0,0,0
3,1.3333333333333333,1,33.5,1,0,Minor,132,59,65,35,-6,0,0,0,1,0,0,0,0,0,215,0,0,0,0,0,0,0,1,1.6094379124341003,0,1,0,0,0,0
8,2,1,30,1,0,Minor,90,81,58,91,-4,0,0,1,0,0,0,0,0,0,224,1,1,0,1,0,1,1,1,1.6094379124341003,3.58351893845611,0,0,1,0,0
5.333333333333333,0.6666666666666666,0,25,0,0,Major,132,51,65,95,-12,0,0,1,1,0,0,0,1,0,140,0,1,0,0,0,0,0,0,1.6094379124341003,4.343805421853684,0,0,0,0,1
2.6666666666666665,0.6666666666666666,0,32,1,0,Major,104,94,75,74,-6,0,0,1,0,0,0,0,0,0,224,0,0,0,0,0,0,0,1,1.0986122886681098,1.0986122886681098,0,0,0,1,0
4.333333333333333,1.3333333333333333,0,29,0,0,Minor,94,57,73,69,-14,0,0,1,1,0,0,0,0,0,210,0,1,1,0,0,1,0,0,0.6931471805599453,2.4849066497880004,0,0,0,0,0
9,1.3333333333333333,0,24,1,0,Major,106,68,38,65,-9,0,0,1,1,0,0,0,0,0,136,0,0,0,0,0,0,0,0,1.3862943611198906,1.9459101490553132,0,0,0,1,0
4.333333333333333,2,1,27,0,0,Minor,90,76,77,68,-7,0,1,0,0,1,0,0,0,0,213,0,0,0,1,0,1,0,1,1.6094379124341003,1.791759469228055,0,0,1,0,0
9.333333333333334,0.6666666666666666,0,16,1,0,Major,85,43,67,34,-10,0,1,0,0,0,0,0,1,0,190,0,0,0,0,0,0,0,0,2.302585092994046,2.5649493574615367,0,0,0,1,0
7.333333333333333,2,0,30,1,1,Major,128,61,59,95,-10,0,0,0,1,0,0,0,0,0,182,0,1,0,0,0,0,0,0,1.0986122886681098,2.772588722239781,0,0,0,1,0
5.333333333333333,3.3333333333333335,1,38.5,0,0,Major,104,32,27,54,-13,0,0,1,0,1,1,0,0,0,162,0,1,1,0,0,1,0,0,1.6094379124341003,4.343805421853684,0,0,0,1,0
5.666666666666667,2.6666666666666665,0,21,0,0,Major,89,25,53,24,-15,0,0,0,1,1,1,0,0,0,220,0,0,1,0,0,1,0,0,1.6094379124341003,4.276666119016055,0,0,0,1,0
7.666666666666667,1.3333333333333333,0,30,1,1,Major,165,34,42,72,-13,0,0,1,0,0,0,0,0,0,217,0,1,0,0,0,0,0,0,0.6931471805599453,3.828641396489095,0,0,0,0,1
6,0,1,42,0,0,Major,96,80,64,53,-5,0,0,1,0,0,0,1,0,0,270,0,1,0,0,0,0,0,0,1.0986122886681098,1.3862943611198906,0,0,0,1,0
3.6666666666666665,2.6666666666666665,1,21,1,0,Major,110,26,51,54,-12,0,0,1,1,0,0,0,0,0,132,0,0,0,0,0,0,0,0,1.3862943611198906,4.3694478524670215,0,0,0,1,0
8.666666666666666,0.6666666666666666,0,23,0,0,Major,119,82,71,87,-9,0,0,0,1,0,1,1,0,0,291,0,1,0,0,0,0,1,0,1.0986122886681098,3.091042453358316,1,0,0,0,0
7.333333333333333,0.6666666666666666,1,27.75,0,0,Major,103,89,72,82,-8,0,1,1,0,0,0,0,0,0,204,0,1,0,0,0,0,0,0,1.6094379124341003,0,0,0,0,0,1
8,0,0,21.5,0,0,Major,98,51,25,82,-13,0,0,1,1,0,0,0,0,0,168,0,0,1,0,0,1,0,0,0.6931471805599453,0,0,0,0,0,1
7,1.3333333333333333,1,12.5,0,0,Minor,102,86,73,47,-7,0,1,0,1,0,1,0,0,0,193,0,1,0,1,1,1,0,0,2.1972245773362196,0,0,0,1,0,0
